MOP-50KG,WSF,1900,1900.00,
NPK-19-19-19-25KG,WSF,3350,3350.00,
ZITRLON-1KG,MICRONUTRIENT,655,655.00,
ABM-1L,INCESTCIDE,760,760.00,
ACTARA-1KG,INCESTCIDE,1715,1715.00,
LITTLE CHAMP-10G,SEED,182,182.00,
GRAMOXAN-500ML,HERBICIDE,198,198.00,
CELFOS-1KG,INCESTCIDE,1200,1200.00,
CFL-1522-2000SDS,SEED,549,549.00,
TRAY-221 CAV,OTHER,20,20.00,
JK 8035-10g,SEED,110,110.00,
BARROZ-1KG,INCESTCIDE,330,330.00,
NPK-12-61-25KG,WSF,4220,4220.00,
NPK 52-34-25KG,WSF,4550,4550.00,
NPK-13-0-45-25KG,WSF,2800,2800.00,
ZAMPRO-1L,FUNGICIDE,3400,3400.00,
ACRISIO-100ML,FUNGICIDE,870,870.00,
BELT EXPERRT-100ML,INCESTCIDE,735,735.00,
ULALA-30G,INCESTCIDE,265,265.00,
COMPO HYDROSPEED-1KG,WSF,130,130.00,
RAMBO-100ML,INCESTCIDE,195,195.00,
RAMBO-200ML,INCESTCIDE,365,365.00,
AMMECTO-250G,INCESTCIDE,290,290.00,
AMMECTO-100G,INCESTCIDE,125,125.00,
YB-7-500G,SEED,518,518.00,
30-10-10-1KG,WSF,475,475.00,
BENEVIA-240ML,INCESTCIDE,1756,1756.00,
ACTARA-100G,INCESTCIDE,187,187.00,
CALBOR-5KG,MICRONUTRIENT,230,230.00,
BENEVIA-180ML,INCESTCIDE,1345,1345.00,
KEEFON-250ML,INCESTCIDE,682,682.00,
SNAKE GOURD-10G,SEED,0,0.00,
KAVACH FLO-400ML,FUNGICIDE,603,603.00,
COHIGAN STRONG,INCESTCIDE,550,550.00,
STICKY TRAP,OTHER,22,22.00,
MULTINEMOR-250ML,INCESTCIDE,160,160.00,
ALTOS STICKER-500ML,OTHER,0,0.00,
VALIDA-500ML,FUNGICIDE,246,246.00,
COCOPEAT-5KG,OTHER,200,200.00,
TRAY-126 CELL,OTHER,10.5,10.50,
CURACRON-100ML,INCESTCIDE,85,85.00,
RIDOMIL GOLD-100G,FUNGICIDE,178,178.00,
GRAMOXAN-1LTR,HERBICIDE,385,385.00,
TRAY-209CELL,OTHER,11.5,11.50,
SNAILKILL-1KG,INCESTCIDE,1000,1000.00,
ATABRON-500ML,INCESTCIDE,530,530.00,
NATIVO-1KG,FUNGICIDE,5925,5925.00,
VERMICOMPOST-1KG,OTHER,20,20.00,
NS-43-10G,SEED,255,255.00,
SPRAYER SHIVAM 02,SPRAYER,2550,2550.00,
ALGAE-1L,PGR,950,950.00,
SAAF-250G,FUNGICIDE,182,182.00,
SAAF-500G,FUNGICIDE,346,346.00,
CUPROFIX-1KG,INCESTCIDE,830,830.00,
MACARENA-250ML,PGR,319,319.00,
TAFGOR-1L,INCESTCIDE,645,645.00,
LIHOCIN-100ML,PGR,110,110.00,
FOLIO GOLD-100ML,FUNGICIDE,169,169.00,
BHAVANI CF-10G,SEED,80,80.00,
JUMP-40G,INCESTCIDE,703,703.00,
GALILEOSENSA-400ML,FUNGICIDE,862,862.00,
BARAZIDE-100ML,INCESTCIDE,205,205.00,
ISABION-100ML,PGR,116,116.00,
BIOVITA-1L,PGR,654,654.00,
DAWN-10G,SEED,375,375.00,
CF-4051-10G,SEED,370,370.00,
COMPO 13-40-13-25KG,WSF,7900,7900.00,
ADAPHON-100ML,PGR,107,107.00,
REDIFARM-250ML,PGR,441,441.00,
KELP-1L,PGR,1008,1008.00,
DURATEC TOP 14-1KG,WSF,265,265.00,
COMPO 13-40-10-1KG,WSF,327,327.00,
KRISHNA CHILLI-10G,SEED,420,420.00,
BENIFIT PZ-500ML,PGR,1185,1185.00,
AGIL-500ML,HERBICIDE,943,943.00,
TRAY-221 CELL-.8MM,OTHER,22.5,22.50,
DELEGATE-180ML,INCESTCIDE,1680,1680.00,
PUMPKIN-9511-10G,SEED,65,65.00,
KALASONA-1KG,PGR,265,265.00,
SPRAYER DM,OTHER,2450,2450.00,
ALLBOR PLUS-250G,MICRONUTRIENT,160,160.00,
CABRIOTOP-600G,FUNGICIDE,1065,1065.00,
CRIUISER FS-50ML,INCESTCIDE,77,77.00,
BASFOLIAR K40-1KG,WSF,645,645.00,
ROGOR-1L,INCESTCIDE,585,585.00,
HOSHI ULTRA-1LL,PGR,590,590.00,
KYI850-10G,SEED,43,43.00,
KNON U PRAGATI-10G,SEED,175,175.00,
PUMPKIN AADI-10G,SEED,105,105.00,
CALDON-250G,INCESTCIDE,380,380.00,
APROPO-500ML,FUNGICIDE,996,996.00,
RACER-500SD,SEED,1000,1000.00,
FOLIOGOLD-1L,FUNGICIDE,1585,1585.00,
saho tomato-10g,SEED,935,935.00,
KEEFON-500ML,INCESTCIDE,1335,1335.00,
WETCIT-250ML,OTHER,360,360.00,
SATHI-80G,HERBICIDE,178.33,178.33,
WETCIT-100ML,ACTIVATOR,0,0.00,
KAUSHAL TOMATO-10G,SEED,415,415.00,
SARTHAK-250G,FUNGICIDE,730,730.00,
COPPER SULFATE-1KG,FUNGICIDE,270,270.00,
TAGMYCIN-6G,ANTIBIOTICS,23,23.00,
COSAMIL-500G,FUNGICIDE,65,65.00,
HASTAR-115ML,HERBICIDE,1220,1220.00,
ATRANEX-500G,HERBICIDE,248,248.00,
BLUE COPPER-500G,FUNGICIDE,355,355.00,
FOOST-250G,HERBICIDE,102,102.00,
FOOST-500G,HERBICIDE,220,220.00,
IMPERIAL-100ML,INCESTCIDE,0,0.00,
CALDAN-250G,INCESTCIDE,380,380.00,
TAPUZ-100G,INCESTCIDE,93,93.00,
KNOLKHOL JUMBO-10G,FUNGICIDE,135,135.00,
LAUDIS-230ML,HERBICIDE,2360,2360.00,
